"GO.ID"	"Term"	"Annotated"	"Significant"	"Expected"	"weight_ks"	"weight_ks_adjusted"	"genes_id"
"GO:0042542"	"response to hydrogen peroxide"	87	6	0.92	"0.00366"	0.0234047368421053	"GPX1,HBA1,HBA2,MT-ND5,PARK7,TXN"
"GO:0045116"	"protein neddylation"	9	1	0.1	"0.00464"	0.02673	"RPL11"
"GO:0031640"	"killing of cells of other organism"	23	2	0.24	"0.00484"	0.02673	"RPS19,S100A12"
"GO:0042407"	"cristae formation"	25	4	0.27	"0.00489"	0.02673	"ATP5F1E,ATP5ME,MT-ATP6,MT-ATP8"
"GO:0050901"	"leukocyte tethering or rolling"	11	1	0.12	"0.00498"	0.02673	"SELL"
"GO:0000027"	"ribosomal large subunit assembly"	22	3	0.23	"0.00513"	0.02673	"RPL11,RPL3,RPLP0"
"GO:0051591"	"response to cAMP"	46	1	0.49	"0.00587"	0.0285282	"SLC26A3"
"GO:0071320"	"cellular response to cAMP"	28	1	0.3	"0.00602"	0.0286835294117647	"SLC26A3"
"GO:0033864"	"positive regulation of NAD(P)H oxidase"	5	1	0.05	"0.00639"	0.0298609615384615	"PARK7"
"GO:1901361"	"organic cyclic compound catabolic process"	430	17	4.57	"0.00669"	0.030213	"GPX1,RPL11,RPL18A,RPL3,RPL31,RPL41,RPLP0,RPLP1,RPS16,RPS18,RPS19,RPS2,RPS25,RPS26,RPS27,TRIR,UBB"
"GO:0051651"	"maintenance of location in cell"	62	5	0.66	"0.00698"	0.030213	"FTH1,FTL,PARK7,TMSB10,TXN"
"GO:0034341"	"response to interferon-gamma"	131	4	1.39	"0.00716"	0.030213	"B2M,IFITM1,IFITM2,IFITM3"
"GO:0006089"	"lactate metabolic process"	9	1	0.1	"0.00738"	0.030213	"PARK7"
"GO:0050665"	"hydrogen peroxide biosynthetic process"	6	1	0.06	"0.00746"	0.030213	"MT-CO2"
"GO:0031330"	"negative regulation of cellular catabolic"	172	2	1.83	"0.00784"	0.030766935483871	"PARK7,RPL11"
"GO:0045059"	"positive thymic T cell selection"	11	2	0.12	"0.00828"	0.0309825	"CD3D,CD74"
"GO:0019439"	"aromatic compound catabolic process"	420	17	4.46	"0.00834"	0.0309825	"GPX1,RPL11,RPL18A,RPL3,RPL31,RPL41,RPLP0,RPLP1,RPS16,RPS18,RPS19,RPS2,RPS25,RPS26,RPS27,TRIR,UBB"
"GO:0002376"	"immune system process"	1707	23	18.14	"0.00856"	0.0309825	"ALAS2,B2M,CD3D,CD74,FBXO7,FCGRT,FTH1,FTL,GPX1,GYPC,H3F3B,IFIT3,IFITM1,IFITM2,IFITM3,PARK7,RAC2,RPS19,S100A11,S100A12,S100A8,SELL,UBB"
"GO:0060337"	"type I interferon signaling pathway"	62	4	0.66	"0.00890"	0.03101625	"IFIT3,IFITM1,IFITM2,IFITM3"
"GO:0045071"	"negative regulation of viral genome"	40	3	0.43	"0.00899"	0.03101625	"IFITM1,IFITM2,IFITM3"
"GO:1904064"	"positive regulation of cation"	54	2	0.57	"0.00909"	0.03101625	"COX17,PARK7"
"GO:0051238"	"sequestering of metal ion"	8	3	0.09	"0.00977"	0.0325220547945205	"FTH1,FTL,S100A8"
"GO:0043086"	"negative regulation of catalytic activity"	414	5	4.4	"0.01105"	0.034425	"AC005258.1,FBXO7,GPX1,PARK7,RPL11"
"GO:0051053"	"negative regulation of DNA metabolic"	92	1	0.98	"0.01179"	0.0348760227272727	"S100A11"
"GO:0006414"	"translational elongation"	125	1	1.33	"0.01220"	0.0348760227272727	"RPLP1"
"GO:0090493"	"catecholamine uptake"	5	1	0.05	"0.01222"	0.0348760227272727	"PARK7"
"GO:0070527"	"platelet aggregation"	42	1	0.45	"0.01258"	0.0348760227272727	"MYL12A"
"GO:0035722"	"interleukin-12-mediated signaling pathway"	37	2	0.39	"0.01263"	0.0348760227272727	"PSME2,RPLP0"
"GO:0060333"	"interferon-gamma-mediated signaling"	70	1	0.74	"0.01263"	0.0348760227272727	"B2M"
"GO:1904667"	"negative regulation of ubiquitin protein"	5	1	0.05	"0.01367"	0.0361066304347826	"RPL11"
"GO:0090200"	"positive regulation of release of"	21	1	0.22	"0.01549"	0.0388048453608247	"BID"
"GO:0040012"	"regulation of locomotion"	491	6	5.22	"0.01661"	0.0393282524271845	"CD74,FBXO7,IFITM1,PFN1,RAC2,TMSB10"
"GO:0051194"	"positive regulation of cofactor metabolic"	15	1	0.16	"0.01667"	0.0393282524271845	"MT-CO2"
"GO:0043534"	"blood vessel endothelial cell migration"	56	1	0.6	"0.01745"	0.0401929838709677	"GPX1"
"GO:0022898"	"regulation of transmembrane transporter"	107	2	1.14	"0.01801"	0.0401929838709677	"COX17,PARK7"
"GO:0042423"	"catecholamine biosynthetic process"	5	1	0.05	"0.01805"	0.0401929838709677	"PARK7"
"GO:0009438"	"methylglyoxal metabolic process"	5	1	0.05	"0.01892"	0.0401929838709677	"PARK7"
"GO:0002479"	"antigen processing and presentation of"	19	1	0.2	"0.01931"	0.0401929838709677	"B2M"
"GO:2000045"	"regulation of G1/S transition of mitotic"	91	3	0.97	"0.01948"	0.0401929838709677	"BID,FBXO7,PSME2"
"GO:0030001"	"metal ion transport"	365	5	3.88	"0.01951"	0.0401929838709677	"B2M,COX17,FTH1,FTL,SLC25A37"
"GO:0090201"	"negative regulation of release of"	13	1	0.14	"0.02035"	0.0401929838709677	"GPX1"
"GO:0031647"	"regulation of protein stability"	187	4	1.99	"0.02040"	0.0401929838709677	"FBXO7,PARK7,PFN1,RPL11"
"GO:0007267"	"cell-cell signaling"	622	4	6.61	"0.02051"	0.0401929838709677	"PARK7,PFN1,TXN,UBB"
"GO:0097190"	"apoptotic signaling pathway"	389	7	4.13	"0.02130"	0.04074046875	"BID,CD74,GPX1,PARK7,RPL11,S100A8,UBB"
"GO:0046688"	"response to copper ion"	17	2	0.18	"0.02225"	0.0416464615384615	"MT-CYB,PARK7"
"GO:0009060"	"aerobic respiration"	64	5	0.68	"0.02326"	0.041868	"COX7C,MT-CO2,MT-CO3,MT-ND1,UQCRB"
"GO:1901360"	"organic cyclic compound metabolic process"	3309	46	35.17	"0.02414"	0.0428176642335766	"ALAS2,ATP5F1E,ATP5ME,BID,CD3D,CD74,COX7C,FKBP8,GIMAP7,GPX1,GUK1,H3F3B,MT-ATP6,MT-ATP8,MT-CO2,MT-CO3,MT-CYB,MT-ND1,MT-ND3,MT-ND5,NDUFB2,PARK7,PFN1,RPL11,RPL18A,RPL3,RPL31,RPL41,RPLP0,RPLP1,RPS16,RPS18,RPS19,RPS2,RPS25,RPS26,RPS27,S100A11,S100A12,S100A8,SLC25A39,SLC26A3,TRIR,TXN,UBB,UQCRB"
"GO:0042168"	"heme metabolic process"	22	2	0.23	"0.02454"	0.0429008633093525	"ALAS2,SLC25A39"
"GO:0008283"	"cell proliferation"	981	13	10.43	"0.02551"	0.043048125	"BID,CD74,COX17,EMP3,FTH1,GPX1,IFIT3,IFITM1,RAC2,RPS27,S100A11,S100A6,TXN"
"GO:0045893"	"positive regulation of transcription, DNA-"	799	4	8.49	"0.02793"	0.04465125	"CD3D,CD74,PARK7,UBB"
"GO:0045471"	"response to ethanol"	68	2	0.72	"0.02832"	0.0446806451612903	"MT-CYB,S100A8"
"GO:0035456"	"response to interferon-beta"	24	4	0.26	"0.02850"	0.0446806451612903	"IFIT3,IFITM1,IFITM2,IFITM3"
"GO:0030901"	"midbrain development"	48	1	0.51	"0.02884"	0.0449238461538462	"COX6B1"
"GO:2001024"	"negative regulation of response to drug"	17	2	0.18	"0.02981"	0.0454996551724138	"PARK7,TXN"
"GO:0033273"	"response to vitamin"	44	1	0.47	"0.03079"	0.0454996551724138	"MT-CYB"
"GO:0070486"	"leukocyte aggregation"	9	2	0.1	"0.03116"	0.0454996551724138	"RAC2,S100A8"
"GO:0006954"	"inflammatory response"	346	5	3.68	"0.03168"	0.0454996551724138	"GPX1,PARK7,RPS19,S100A12,S100A8"
"GO:0051353"	"positive regulation of oxidoreductase"	30	2	0.32	"0.03216"	0.0454996551724138	"COX17,PARK7"
"GO:1903580"	"positive regulation of ATP metabolic"	22	2	0.23	"0.03244"	0.0454996551724138	"MT-CO2,PARK7"
"GO:0033145"	"positive regulation of intracellular"	12	1	0.13	"0.03287"	0.0456423428571429	"PARK7"
"GO:0071456"	"cellular response to hypoxia"	92	1	0.98	"0.03308"	0.0456620338983051	"UBB"
"GO:0046689"	"response to mercury ion"	5	2	0.05	"0.03349"	0.0457194943820225	"MT-CYB,PARK7"
"GO:1901070"	"guanosine-containing compound"	11	1	0.12	"0.03373"	0.0457457142857143	"GUK1"
"GO:1902236"	"negative regulation of endoplasmic"	14	1	0.15	"0.03528"	0.0457457142857143	"PARK7"
"GO:0002903"	"negative regulation of B cell apoptotic"	9	1	0.1	"0.03537"	0.0457457142857143	"CD74"
"GO:0032602"	"chemokine production"	40	2	0.43	"0.03553"	0.0457457142857143	"CD74,S100A8"
"GO:0060267"	"positive regulation of respiratory burst"	6	1	0.06	"0.03617"	0.04617	"RPS19"
"GO:0046826"	"negative regulation of protein export"	5	2	0.05	"0.03702"	0.0468534375	"PARK7,TXN"
"GO:0042737"	"drug catabolic process"	53	5	0.56	"0.03744"	0.04698	"GPX1,HBA1,HBA2,HBG1,HBM"
"GO:0048708"	"astrocyte differentiation"	36	1	0.38	"0.03833"	0.0472254545454545	"S100A8"
"GO:0032414"	"positive regulation of ion transmembrane"	44	1	0.47	"0.03934"	0.0477981	"COX17"
"GO:0007286"	"spermatid development"	49	1	0.52	"0.04125"	0.0491238990825688	"SLC26A3"
"GO:0021884"	"forebrain neuron development"	8	1	0.09	"0.04167"	0.0491238990825688	"UBB"
"GO:0002819"	"regulation of adaptive immune response"	102	1	1.08	"0.04317"	0.0491238990825688	"B2M"
"GO:0002726"	"positive regulation of T cell cytokine"	12	1	0.13	"0.04331"	0.0491238990825688	"B2M"
"GO:0042590"	"antigen processing and presentation of"	23	1	0.24	"0.04339"	0.0491238990825688	"B2M"
"GO:0018119"	"peptidyl-cysteine S-nitrosylation"	8	1	0.09	"0.04348"	0.0491238990825688	"S100A8"
"GO:0045087"	"innate immune response"	498	9	5.29	"0.04542"	0.04949	"B2M,IFIT3,IFITM1,IFITM2,IFITM3,RPS19,S100A12,S100A8,UBB"
"GO:2000379"	"positive regulation of reactive oxygen"	59	2	0.63	"0.04596"	0.04949	"MT-CO2,PARK7"
"GO:1902600"	"proton transmembrane transport"	95	11	1.01	"0.04660"	0.04949	"ATP5F1E,ATP5ME,COX17,COX6B1,COX7C,MT-ATP6,MT-ATP8,MT-CO2,MT-CO3,MT-CYB,PARK7"
"GO:1902254"	"negative regulation of intrinsic"	16	1	0.17	"0.04727"	0.04949	"CD74"
"GO:0044267"	"cellular protein metabolic process"	2954	34	31.39	"0.04757"	0.04949	"B2M,BID,CD74,DAZAP2,FBXO7,FKBP8,GPX1,H3F3B,OST4,PARK7,PSMA7,PSME2,RAC2,RPL11,RPL18A,RPL3,RPL31,RPL36A-HNRNPH2,RPL41,RPLP0,RPLP1,RPS16,RPS18,RPS19,RPS2,RPS25,RPS26,RPS27,S100A12,S100A8,SEC61B,TXN,UBB,UBXN6"
"GO:0048747"	"muscle fiber development"	26	1	0.28	"0.04774"	0.04949	"GPX1"
"GO:0032364"	"oxygen homeostasis"	5	1	0.05	"0.04890"	0.04949	"ALAS2"
"GO:0010629"	"negative regulation of gene expression"	1030	18	10.95	"0.04906"	0.04949	"H3F3B,PARK7,RPL11,RPL18A,RPL3,RPL31,RPL41,RPLP0,RPLP1,RPS16,RPS18,RPS19,RPS2,RPS25,RPS26,RPS27,TXN,UBB"
"GO:0033617"	"mitochondrial respiratory chain complex IV"	13	1	0.14	"0.04934"	0.04949	"COX17"
"GO:0036503"	"ERAD pathway"	79	2	0.84	"0.04938"	0.04949	"SEC61B,UBXN6"
