logFC	logCPM	F	PValue	FDR
SNORD42A	0.661285625008546	7.05976479260486	18.2022422615086	1.98759476023056e-05	0.00823112680080481
U91319.1	0.934731473174033	6.04271897941963	18.003215639178	2.20656771344066e-05	0.00877243060155469
S100A11	0.38623447176502	10.2308394839396	17.820050339482	2.42945637454761e-05	0.00928706419485718
RPL41	0.496336374332204	8.03501268602401	17.6375488888837	2.67404460619392e-05	0.00984345531146716
RPS25	0.438487027440153	8.89639094252534	17.4473354608236	2.95535296566337e-05	0.0102329525654991
AC005912.1	0.611916058228287	7.23388428162178	17.4278691184153	2.98576943756387e-05	0.0102329525654991
RPS19	0.433288372819956	8.85580652170809	17.3182203657681	3.16306990848862e-05	0.0103818449340299
SLC25A39	0.382450368370716	10.1867393531138	17.2738891557449	3.23812448893174e-05	0.0103818449340299
MT-CO2	0.361430052864627	10.9149106114735	16.9215429244843	3.89791244151653e-05	0.0121066724238227
AC104389.6	0.407545107155532	9.63446876189624	16.6930263590989	4.78118645210574e-05	0.0133509659575831
BID	0.691917798396635	6.58850403445207	16.514394154479	4.83053028771081e-05	0.0133509659575831
CD74	0.393729348222444	9.45846992168585	16.4977472974504	4.87312316201029e-05	0.0133509659575831
SLC26A3	0.442503651106527	8.36342197817539	16.4718898878618	4.94003236802951e-05	0.0133509659575831
IFITM2	0.362502036675557	10.4931560783998	16.4543480435151	4.98594919299266e-05	0.0133509659575831
PSME2	0.586112004709359	7.22572045052066	16.409796270174	5.10450454158524e-05	0.0133509659575831
RPLP1	0.381568690744894	9.58138033365122	16.284146214262	5.45436493254978e-05	0.0139002392473365
AC099560.2	0.578884639614976	7.28383950195116	16.1822658932512	5.7559417650387e-05	0.0143020763006799
LIMD2	0.493961265364898	7.87138022186071	16.0973295934398	6.01963178389627e-05	0.0144053586537076
COX17	0.823629756807468	6.0777796313243	16.0574051579515	6.1478788492859e-05	0.0144053586537076
GUK1	0.39423582775494	9.5104257355506	16.0102573344389	6.40197620277927e-05	0.0144053586537076
MT-ATP6	0.34818502155452	11.0552976247541	15.9459543630179	6.52069035773483e-05	0.0144053586537076
GYPC	0.370159188565863	9.9571492534356	15.8866650538119	6.72808684116025e-05	0.0144053586537076
HBM	0.427436054690018	8.71976680082875	15.8703852404432	6.78620710937951e-05	0.0144053586537076
RPL36A-HNRNPH2	0.5859671418581	7.08690281735498	15.8631853250343	6.8120722077096e-05	0.0144053586537076
SH3BGRL3	0.382512818240272	9.46295243437124	15.5619444935926	7.98798266638944e-05	0.0162390186932425
FKBP8	0.405900462652501	9.07339846471613	15.5581811790998	8.00595548816665e-05	0.0162390186932425
RPS2	0.413991112523258	8.79908658020807	15.4257446081785	8.58474231358036e-05	0.0168568985088997
RPL31	0.368809867977142	9.77777716526398	15.4114800632417	8.64978190918489e-05	0.0168568985088997
ALAS2	0.430027763446561	8.47299461155836	15.2361371541193	9.49096365936218e-05	0.0180445648190064
TXN	0.536077981989923	7.49043338496615	15.2101771514374	9.62231547849219e-05	0.0180445648190064
ATP5F1E	0.401333976991884	8.79345818064891	15.1018174544988	0.000101906432051029	0.0186114649808686
NDUFB2	0.484373946829715	7.8015329743549	15.0507641089674	0.000104700001605608	0.0186114649808686
FTH1	0.367696740000632	9.70606665805841	15.0478120135567	0.000104863873521345	0.0186114649808686
RPL11	0.395060345766405	8.85143613124274	14.9536622123511	0.000110227801396025	0.0192202476855279
S100A8	0.332264647477972	10.9086830382697	14.6232016425211	0.00013133824134567	0.0225063927712864
MT-RNR1	0.327101207353363	12.7999614375402	14.5469852087352	0.000136771054447754	0.0230401272907835
PARK7	0.833419860633398	5.82075098602694	14.4904564543563	0.000140924211797112	0.0232959140347801
IFITM1	0.39032959521347	9.02251619726796	14.4632106946609	0.000142977236756372	0.0232959140347801
EMP3	0.493591791196775	7.62745680589227	14.3437622482863	0.000152339376602616	0.0244209849040871
RAC2	0.558432312067596	7.08866568969451	14.2602671452581	0.000159247900586538	0.0251232521258667
MT-CO3	0.326567860737642	11.0032130654563	14.2246287117158	0.000162291959636196	0.0252034341691275
GIMAP7	0.448139381718526	7.9503673442755	14.1582983225009	0.000168114497330591	0.0257059998302884
MT-CYB	0.341627769470589	10.1962541079376	14.0841087844891	0.000174876595254271	0.0263348254580637
COX7C	0.606348212386496	6.77547221690431	13.9827960631612	0.000184555688329907	0.0273775968106112
COX6B1	0.465406123157303	7.86908728806439	13.9351045335736	0.000189297044692052	0.0276679901057986
RPS26	0.52449059303404	7.42007241973635	13.854342425308	0.000197607757041044	0.0284641086555209
IFIT3	0.565085725004615	6.95166444514962	13.7797417462681	0.00020561075560464	0.02906436233297
TMSB10	0.341515877115136	9.88277843943536	13.7614403703696	0.000207623475766261	0.02906436233297
SLC25A37	0.340764772395346	9.94677648408453	13.6860398649059	0.000216127310509541	0.0298345741549213
SELL	0.403043573936343	8.35515984410525	13.5684584862329	0.000230094375956524	0.0310390761411108
MT-ND5	0.345387597003896	9.71826868433327	13.5383854338963	0.000233810463144575	0.0310390761411108
TIMM8B	0.788910161110386	5.90646594041592	13.5071689073859	0.00023773184173578	0.0310390761411108
RF01871	-0.359207420500847	9.08133119211465	13.492955770417	0.000239539170679427	0.0310390761411108
RPLP0	0.400039921464627	8.46009876234111	13.4856953199197	0.000240467739497488	0.0310390761411108
S100A12	0.434511398919946	8.12596065599176	13.2871438471246	0.000267317362432123	0.0336335101938512
MYL6	0.348278963451106	9.59200406916783	13.2673075057601	0.000270160570648238	0.0336335101938512
PSMA7	0.428747975646093	8.17084923551869	13.2634329617127	0.00027071947031976	0.0336335101938512
B2M	0.308270938136999	12.690541169767	13.2268578175028	0.000276053175929654	0.0338727471057387
FBXO7	0.453551771376133	7.7500337949527	13.1423767713945	0.000288781465470507	0.0350024266501386
CD3D	0.608459716553845	6.62100450603426	13.0815531225366	0.000298310304731146	0.0357217604665405
ARHGAP15	-0.337687377713964	9.49975850216101	12.9752176554134	0.000315737290643252	0.0373584872821819
AC005258.1	0.325449596413523	10.2206698627506	12.8968675379916	0.000329231625972741	0.0384968603593302
GPX1	0.44176008329163	7.7770032711986	12.8286654325335	0.000341450911250108	0.0394614024059863
MYL12A	0.366272104434452	8.97580402611503	12.7953435799902	0.000347586256692647	0.0397087333938876
LGALS2	0.771160429421663	5.90847161916747	12.7376187012057	0.000358479123721781	0.0404877728485316
TRIR	0.622959433754025	6.47240822724699	12.6826586703755	0.000369170131878601	0.041226763379117
RPL3	0.41981453072125	7.94841889930968	12.6493883558386	0.000375797669596402	0.0415005893124293
VEPH1	0.552903621828695	7.063394642203	12.5656303570521	0.000393034423671604	0.0429271333722206
FCGRT	0.486857652343427	7.378905999699	12.5133004804212	0.000404180168101755	0.0436646379430798
MT-ATP8	0.384500574570742	8.62472476944992	12.4212285521111	0.000424707229238286	0.0453888725956917
DAZAP2	0.394570818440425	8.26512441809817	12.3940253682437	0.000430830150598941	0.0454311458493924
HBA2	0.311802737238539	17.4958270708228	12.3792835894605	0.000434244778719416	0.0454311458493924
UQCRB	0.48659061234576	7.25077124059653	12.3045103135073	0.000451989655545439	0.0467950540256887
LINGO1	0.312341704045623	10.3017211600893	12.2814871237565	0.000457599417377651	0.0468874289620255
SNORA65	1.20514386548398	5.00339913320488	12.2023522368473	0.000477422566317617	0.0484194172105184
RPS10-NUDT3	0.434975780047282	7.6885285008757	12.1525902129568	0.000490329481736629	0.0492261082725289
LGALS1	0.53335137446788	6.9741890144565	12.0654257965513	0.0005137923425579	0.0510658209268297
RPL3P4	0.507321893030246	7.04698340107297	11.9430947777902	0.000548646022493576	0.0539900278966698
RPL15	0.369586757400886	8.57275227692543	11.8974982926993	0.000562239470437588	0.054538053799018
SNORD72	0.570737577543555	6.72749145241329	11.8877497030326	0.000565189610755494	0.054538053799018
AC073861.1	0.507261865783834	7.12782125048897	11.8423332645512	0.000579141011624403	0.0553469472551436
PTCD1	0.443197040196301	7.61383234866246	11.71924640807	0.00061872578474278	0.0585668149957951
RPL37A	0.381573261780832	8.25167725315959	11.6840839549481	0.000630528028593275	0.0591209252470619
RPL13	0.346923275573922	8.94165671935505	11.5750655228666	0.000668585329356139	0.061943198374894
AC093484.3	0.305792460187782	10.2930145355167	11.5625718331435	0.000673092406126225	0.061943198374894
LYZ	0.290710372462936	11.7505486458512	11.5166842331729	0.000689911282513822	0.0629085159349071
MT-ND4	0.291981520656717	11.2011524314603	11.4984973659757	0.000696694097435553	0.0629494784946542
PINK1-AS	0.837563672799015	5.55511852932693	11.460728624043	0.000710996006339007	0.0632494767697887
S100A4	0.353489219614566	8.73993709742104	11.4561707815449	0.000712741865199349	0.0632494767697887
CMTM6	0.448963675567676	7.38463260413249	11.3541799925043	0.000752962285461956	0.0662273642053662
TC2N	-0.64055742832411	6.03154577212517	11.2835693362378	0.000782144260374332	0.0681754831791756
RPS29	0.327233618770728	9.30210629835116	11.24576713485	0.000798234209065569	0.0681754831791756
RFX3	-0.6324291477553	6.11360391631602	11.2447896369791	0.000798654674119921	0.0681754831791756
CMTM2	0.424014215578183	7.7079558173341	11.2331171764593	0.000803692843558224	0.0681754831791756
SGO1-AS1	-1.27838589275596	4.57487129988359	11.2199652484056	0.000809408090868571	0.0681754831791756
MT-ND2	0.290533918638481	11.0268406312286	11.1316329207939	0.000848872744572645	0.0708987076328363
ASRGL1	1.79472399020053	4.12578061828643	11.0543389657424	0.000884998822162406	0.072733609681917
RPS19P3	0.587279941384991	6.57800416308167	11.053335111853	0.000885478093521678	0.072733609681917
HLA-C	0.340473477555515	8.8238406719007	10.9873874790552	0.000917545307089567	0.0745745117871078
BANK1	-0.593613133979552	6.24244582032434	10.9664972631323	0.000927946149765654	0.0745745117871078
ELOB	0.353035174733177	8.7262616928033	10.9616044229562	0.000930399382392732	0.0745745117871078
DOCK10	-0.500437769333172	6.80721375983256	10.9265719228531	0.000948157041090536	0.0753898626511907
FLII	1.18198374148238	4.92267016108015	10.8202183225375	0.00100419457153483	0.0792118241784502
RNF181	0.816206383614775	5.67513385265813	10.7551865911206	0.00104009819547541	0.0813979209829141
LY6E	0.596134035847721	6.34221112525211	10.7386486100509	0.00104943400720552	0.0814869109188721
AL157402.2	0.93157939699122	5.3182044241848	10.7159163850675	0.00106240500611736	0.0818545996573679
PDZK1IP1	0.543461644316743	6.76148269917881	10.6197110698301	0.00111912006238288	0.0855610330771033
CAMKK2	0.898262368967896	5.3199101502962	10.570123404271	0.00114953962083278	0.0866483881669639
ADIPOR1	0.359293610818476	8.46012331602987	10.568132159819	0.00115077847248609	0.0866483881669639
AC108110.1	0.724600941519422	5.8918525127559	10.5165479262177	0.00118334668549802	0.0877447043792616
MIR7703	0.710662274570747	5.90112610435068	10.5090596494482	0.00118815139419129	0.0877447043792616
LAT2	0.679053912765061	5.99604132320614	10.5033569888147	0.00119182363328306	0.0877447043792616
HBB	0.290149371953795	17.9092801665599	10.485899560265	0.00120313692780358	0.0879263082752926
TESC	0.538225118679586	6.71508244950662	10.4486358266378	0.0012276506322921	0.0890629170390601
EIF1	0.344390302743618	8.6146778431813	10.4006724015518	0.0012599486980846	0.0902663050293315
RPS28	0.422168207152586	7.47936325187599	10.3961176914235	0.00126306015585467	0.0902663050293315
RPL30	0.339438209940483	8.64276268467626	10.3838427271951	0.00127148432479187	0.0902663050293315
RPL21	0.315372683997224	9.27319756371047	10.199002018893	0.0014054404374627	0.0990685993471051
AL390957.1	0.465590446514991	7.06708105077801	10.1667084949213	0.00143027026944474	0.100108846535291
IFI30	0.403059489249631	7.6843695225657	10.1083657346007	0.00147626066211606	0.102605277767633
HLA-DRA	0.385951600152005	7.80453295916521	10.0898994809687	0.00149112703754168	0.102918830736991
AIF1	0.318114634285428	9.15993787279837	10.0749385110368	0.00150328257521252	0.103042244931291
RPS14	0.302319002407614	9.59731760045796	9.99889042105544	0.00156663985499872	0.106649544649536
TRAPPC5	0.504068086343234	6.8140911754206	9.95582999503587	0.00160370692852346	0.107978598294392
TMA7	0.352665553265374	8.40065787120698	9.95103240888221	0.00160789139224972	0.107978598294392
GNLY	0.416633099493116	7.50541904375144	9.89092620570326	0.00166126319933907	0.110814059988128
BUD31	0.557701945954775	6.43832158598066	9.83648293055824	0.0017111547337643	0.112752531712444
HSPE1-MOB4	0.674394464494073	5.8860132884435	9.81935480160831	0.00172716273912689	0.112752531712444
GMFG	0.341147763413087	8.46874447342457	9.81568961865403	0.00173060789365933	0.112752531712444
RPS6	0.296768835672701	9.47225471096675	9.7727888813078	0.0017714547989779	0.112752531712444
GAB2	-0.512232781630796	6.54635936368978	9.77224170742307	0.00177198203938999	0.112752531712444
RPL12	0.328917723092107	8.76217877890776	9.76894089296676	0.00177516598048246	0.112752531712444
HLA-E	0.288262334253782	9.93276098970767	9.76715578839214	0.00177689029395297	0.112752531712444
STRADB	0.472226288612784	6.95030350886844	9.75174442495215	0.00179184759162644	0.112752531712444
CNN2	0.458635807829404	7.05412253512825	9.75115334948661	0.00179242378615215	0.112752531712444
HLA-A	0.340788768780894	8.37199927324823	9.65961403086165	0.0018839638880069	0.116846403642077
PSME1	0.415558548206752	7.47768311671798	9.65569580123169	0.00188798624750894	0.116846403642077
EHBP1	-0.835608049368875	5.25893552247735	9.65104396507976	0.00189277301402299	0.116846403642077
ATP5PD	0.500775226616679	6.76874674252847	9.60786347154865	0.00193779736587707	0.118887456910199
NDUFA12	0.429360026345354	7.32695655709262	9.56970181427175	0.00197849180190693	0.120639447970264
CCL5	0.365658614999486	8.1236720472316	9.55192656697194	0.00199785075838255	0.121077065168074
MIR6805	0.462617526384935	6.91775523288384	9.52638195996931	0.00202573812435605	0.12133447972382
SIK3	-0.527868569384381	6.37871164703946	9.52567905492486	0.00202651409942189	0.12133447972382
BSG	0.44065251915528	7.20567489717355	9.4676547793077	0.00209162085246816	0.124482752411264
LIPA	0.5181745681944	6.59780673956402	9.3976784488018	0.00217296779492683	0.128022129042863
FCGR3B	0.300676351792223	9.1933814394759	9.384715595471	0.00218838569862692	0.128022129042863
ISG15	0.548759004625945	7.13379263956661	9.81882680002747	0.0021897335684965	0.128022129042863
VOPP1	-0.650959154563446	5.77787843542461	9.36990278194015	0.00220613983172665	0.128227039693165
DPM3	0.944554013815087	5.12969054795022	9.33601819634502	0.00224730414564329	0.12915012527496
TRPS1	-0.588843981139165	6.03788277125896	9.33544265211255	0.00224801002843024	0.12915012527496
IGKC	0.358065272540851	8.10283813443447	9.32161434735558	0.00226503770067832	0.129380515557712
NDUFAB1	0.850056960200327	5.34992015647972	9.25156701370498	0.00235332317218941	0.133655308619374
RPS23	0.346057562717105	8.08868590560028	9.20263671385042	0.00241705758332988	0.13425265296168
AC011448.1	0.365824017771846	7.90824275439736	9.19336481437107	0.00242933074845024	0.13425265296168
RPS3A	0.320689647345399	8.65103386509422	9.19170392949105	0.00243153592295492	0.13425265296168
AC144548.1	0.380453363787242	7.68342821197394	9.19002555372444	0.00243376638384533	0.13425265296168
SERF2	0.274184467388363	10.3925618674908	9.18605920110769	0.00243911170287854	0.13425265296168
RPL13P12	0.539700618335141	6.46590134318654	9.18120361581395	0.00244552439615808	0.13425265296168
NAPB	1.5867328574555	4.22328338762999	9.17159650098948	0.00245839449029337	0.13425265296168
YBX3	0.307535008925728	8.93910296846543	9.09830929251107	0.00255886291096089	0.138655705524222
MINOS1-NBL1	0.500336734269702	6.74656014952841	9.08813209955735	0.00257314051602163	0.138655705524222
RPS15	0.350065797475188	8.1316925249691	9.07408112736092	0.00259298565517945	0.138655705524222
AL033519.2	1.40278459639262	4.43530871266042	9.07278466172519	0.00259482455252091	0.138655705524222
TSR3	1.04466321858638	4.90906781380894	9.03470948625726	0.00264942456818147	0.140816207396554
HNRNPH1	0.464779991998294	7.02434204534748	9.02036844782433	0.00267029082753916	0.141170321994211
NDUFC2-KCTD14	0.587576408973898	6.19841333037538	8.97913940291351	0.00273121340900713	0.14362714323874
NDUFA1	0.443337230562005	7.10870625509267	8.96911283286673	0.0027462414463961	0.143657335451215
PLEK2	1.4748129967143	4.35589033265248	8.95447016818499	0.00276833917328482	0.144055094467423
CPQ	-0.389674443453126	7.34033740825307	8.90775923167213	0.00284004639929293	0.145759987922613
FCER1G	0.357477130372682	8.00195018885672	8.89654030935035	0.00285754802866317	0.145759987922613
RPS15A	0.379237977287083	7.57128983247243	8.89589173533921	0.00285856315334788	0.145759987922613
RABAC1	0.48457945272916	6.81773247455925	8.89512459480967	0.00285976432688496	0.145759987922613
CNBP	0.39620051456916	7.39128569820283	8.82634604417353	0.00296956672944693	0.150584304714148
SNORD35B	0.848784242830306	5.36450933934495	8.7922501154241	0.00302557782812801	0.152645776821138
AC022384.1	-1.61378509795871	4.03509625281802	8.75958109019387	0.00308025174580836	0.154355171389512
CDC14A	-0.600908605840985	5.88987560146598	8.75007469916119	0.00309634913414945	0.154355171389512
CDC34	0.499871541118865	6.6121322701312	8.7443698274	0.00310605033483272	0.154355171389512
EEF1G	0.385670624706025	7.47018776679065	8.7207586872706	0.00314653089834248	0.155588908450875
AC020656.1	0.284276666622499	10.6662233063051	8.8030743710093	0.0031868004144631	0.15680004613539
NPC2	0.540938401993875	6.4057578598342	8.68198814716475	0.00321427866928784	0.157372983714541
CLASP1	-0.684927296312564	5.60241762311713	8.67278070587088	0.0032304470979937	0.157389282877252
C17orf49	0.424708737222328	7.13452936856929	8.6615640033669	0.00325039161295734	0.157588498737478
CEACAM4	0.774459622562767	5.47899937821608	8.61447295688635	0.00333549967159203	0.160929763281326
RPL27A	0.308227944074536	8.6072975278521	8.58339461461027	0.00339290530090918	0.162110605949803
ASF1A	0.824654234354904	5.31206193372822	8.58121781669285	0.00339696356189412	0.162110605949803
ATP5MPL	0.395466815462291	7.46476193936588	8.57134414251197	0.00341543335325434	0.162110605949803
AC093423.3	-0.574959708633994	5.98183133922446	8.55861280669044	0.00343939949357153	0.162110605949803
ALOX5AP	0.364252726205964	7.79912674891008	8.55748693711037	0.00344152710085606	0.162110605949803
LRBA	-0.574609714058322	5.96759293852504	8.530949720521	0.00349206502324378	0.163715255971792
AK1	0.544029431666798	6.39912526218761	8.49138841507356	0.00356881095791178	0.166527756388193
SPARC	0.745780175278639	5.49322127089154	8.45641619263189	0.00363808187009502	0.168966802368572
LST1	0.309308795624567	8.66048232216031	8.44649641189006	0.00365797820382715	0.169100676129479
AP001267.5	0.331774435146538	8.19840083611544	8.43683391571695	0.00367746489144493	0.169214460907737
SNAP25	0.64012782404013	5.82157451403796	8.4247607317615	0.00370196174789596	0.169556671946258
IFI27	1.07541455620612	4.73456229558949	8.40909634348123	0.00373399282100791	0.170239241504576
CLEC2B	0.404720479536421	7.25810584883544	8.37693280912347	0.00380064844964272	0.172486963200909
LITAF	0.303294900155727	8.6397509305143	8.33699769896643	0.00388509726160586	0.174370043590698
ZFP36L2	0.372528347482546	7.5326351576738	8.32399569202461	0.00391300193481555	0.174370043590698
HDAC9	-0.566361954446776	5.99359859170484	8.3011768697515	0.00396246923399699	0.174370043590698
RPS13P2	0.47211132995621	6.69523137089307	8.28608235962043	0.00399554076193364	0.174370043590698
SPARCL1	0.530588224258065	6.28656094200958	8.28487723197932	0.00399819322951911	0.174370043590698
C15orf39	0.958815580765335	4.89864042070864	8.27660607822603	0.00401644632651264	0.174370043590698
ATP6AP1	0.758227173237026	5.44687484044013	8.27458532152014	0.00402091868374909	0.174370043590698
CST3	0.332954765529869	8.12852422150226	8.27215701594549	0.00402629973603555	0.174370043590698
CBR1	1.00946224848336	4.8486627221964	8.26887923140657	0.00403357483161929	0.174370043590698
C2orf76	1.41314184047763	4.43921088616318	8.25925374586385	0.00405501616413862	0.174370043590698
AC007969.1	0.587470430021784	6.13608949869021	8.25830779478056	0.00405712957497676	0.174370043590698
IL18RAP	1.16905859981005	4.67182565151129	8.2531211270926	0.00406873738451372	0.174370043590698
NAA38	0.556894512475516	6.17276311305936	8.24531400243267	0.00408627355802358	0.174370043590698
RNU1-125P	0.537095081611084	6.31195046084287	8.24465498824381	0.00408775733540926	0.174370043590698
UBA52	0.262935821980294	9.89700706180757	8.21114572997865	0.00416393108744413	0.176860303752595
NCALD	-0.657744089256546	5.61447735631772	8.17607153518294	0.00424521073196039	0.179102461218319
PSAP	0.299714749880214	8.60322535377274	8.15871873968598	0.00428601878501147	0.179102461218319
MDH1	0.588475375207943	5.98703693419067	8.14632944782863	0.00431539845060307	0.179102461218319
SNAPIN	1.11885228183667	4.76099322647658	8.14513770478209	0.00431823530812169	0.179102461218319
RPL23AP2	0.607011377766448	6.03651800190253	8.14444770426975	0.00431987867180959	0.179102461218319
PRDX5	0.352002620490783	7.83812428128549	8.14236595687862	0.00432484059688063	0.179102461218319
MAP3K5	-0.445292854141794	6.73356641610704	8.12569188613901	0.00436479382882373	0.180006995289125
PRDX2	0.379806121267602	7.52194603628969	8.09477592058264	0.00443986963634202	0.182346546758691
TTN-AS1	-1.00933442244168	4.70806110473456	8.06806632400474	0.00450578888827809	0.183886341098589
BAG1	0.344160294140499	7.87201413843859	8.06240067796164	0.00451989933398177	0.183886341098589
HS6ST3	1.5199673035215	4.17662803481884	8.05721020629601	0.00453286583853047	0.183886341098589
MIR6797	0.324463460768997	8.28709186007182	8.04854587605595	0.00455459496604677	0.184016745396499
SLC1A2	0.67160089115496	5.68554539274138	8.02446651676531	0.00461554192471826	0.185724174857388
ATP5IF1	0.476923231585035	6.60665900107443	7.958474975257	0.00478686533872586	0.191690699098121
MT-TV	0.348668310532612	7.87615270191172	7.95261327435909	0.00480239300487294	0.191690699098121
CCT4	0.665264650463728	5.61237477149745	7.94035076261157	0.00483520377645732	0.192228361336837
LINC01619	-0.641721966171201	5.56322994012274	7.91918016964021	0.00489194365493669	0.193709274846278
SAT1	0.32511123171889	8.08332277795951	7.90351649686746	0.0049344822988741	0.194240453656344
SNRPD1	0.666698237757056	5.64509828861887	7.89986804484578	0.00494444458950147	0.194240453656344
RPL18AP3	0.371039438247027	7.58419290595704	7.87423285533415	0.00501502317194888	0.196237461834645
RPS3	0.310877430657571	8.27535556643534	7.81054299961689	0.00519485136976607	0.202476971623941
EVI2B	0.286472646208063	8.77226255733721	7.79056274200238	0.00525260941545298	0.203928456953856
PURA	-0.78652839048227	5.1624777468495	7.77477722093819	0.00529870410374884	0.204917587887781
AC130456.3	0.514866984453285	6.32855272380141	7.75042878221516	0.00537061306839211	0.205468088418431
ATP6V1F	0.635531583315303	5.77901979070341	7.74987805621989	0.00537225100015515	0.205468088418431
NCOA1	-0.370657913861148	7.30334904908965	7.74896840446537	0.00537495753987241	0.205468088418431
RPS11	0.254439996270274	10.0410171513049	7.73021909539742	0.00543105414104146	0.205646366294847
UBXN11	0.430830103139425	6.8628706222466	7.72775555208617	0.00543846912611898	0.205646366294847
NAP1L4	-0.562814524460406	5.91462118095556	7.72668527113661	0.00544169376552417	0.205646366294847
NOP10	0.326762792538633	8.13691587066321	7.71858348456513	0.00546662797136395	0.205806118967372
AC135178.2	0.310952439205528	8.19254765021465	7.709119542365	0.00549489683113305	0.2060897343571
IGLC2	0.493417127979601	6.55440607331653	7.69420484416135	0.00554048668735534	0.206571134857846
RNASEH2B	-0.732780136101874	5.29162922154665	7.69133600218395	0.00554930003089293	0.206571134857846
CCDC124	0.810732192511478	5.29731267810238	7.67421135967914	0.00560220668732849	0.207762433825962
RPLP2	0.265495480710785	9.38584131682143	7.66410270638977	0.00563367858051366	0.207852238013504
TBCB	0.624172255836861	5.87549892142487	7.66001577958045	0.00564645379451112	0.207852238013504
ABI1	-0.478818312457053	6.37455498259806	7.63015221279168	0.00574070475702041	0.210337885150102
RPS20	0.297464897748674	8.4887165602901	7.62525786538934	0.0057563039300561	0.210337885150102
RPS6KA5	-0.461017267117395	6.50302623914308	7.59433389017923	0.00585586896460178	0.212666665333891
EPDR1	-0.572913008643062	5.8285138223143	7.5921919908975	0.00586282989249281	0.212666665333891
LSM10	0.701060018295606	5.47409419855516	7.57218186498368	0.00592826973858608	0.214258447024753
NT5C	1.82891009053953	3.99415763904172	7.54485929665889	0.0060188291822886	0.216743272618719
FAAH2	-1.15727997729525	4.4035827861544	7.52625801367256	0.00608128880072914	0.217603825899399
U62317.4	1.16701372990396	4.59059527705887	7.52471069971633	0.00608651409598881	0.217603825899399
ISCU	0.477048893443496	6.56551519287282	7.50919736023759	0.00613915673510309	0.218699207133296
ASCC2	0.501879075300859	6.33830509369198	7.48501392650951	0.00622214875915236	0.220864058990055
VSIR	0.355676752891883	7.57486061426392	7.46238485260562	0.00630084357786351	0.222861510036959
OXLD1	0.889048247673194	5.01635481084566	7.44795839417884	0.00635154257290251	0.223810982143843
UBL5	0.40891900224001	7.0864600305094	7.44196585814137	0.00637272441359367	0.223810982143843
RPL35	0.2902521654935	8.57047038798051	7.40541537614583	0.0065034901950989	0.227599257215099
PFDN5	0.294069664112615	8.44126910161743	7.38552314160319	0.006575806121743	0.228534144136778
CARD16	0.339969731482987	7.74253953256252	7.38189476189739	0.00658908495810982	0.228534144136778
CKLF-CMTM1	0.37157647876517	7.34977215563143	7.37840542494208	0.00660188076410761	0.228534144136778
KHNYN	1.57965671384874	4.15130673099921	7.37288446080317	0.0066221786408484	0.228534144136778
RPL19	0.292427850820904	8.50402806338043	7.35823604462241	0.00667634309149206	0.229606138361037
AC116533.1	0.513707010465561	6.27433057030275	7.32408870811034	0.0068043709326458	0.233202216205402
STN1	1.17683295902424	4.5261009806151	7.29198256951743	0.00692703293220834	0.236590310354704
